summary_scope,benchmark_group,metric_name,our_value,n_total,n_computable,n_not_computable,comparator_name,comparator_value,comparator_direction,beats_comparator,delta,unit,notes
global,D_relaxation,collapse_rate,0.0,22,22,0,,,,,,,
global,E_novelty_sun,unique_rate,1.0,22,22,0,,,,,,,local uniqueness
global,E_novelty_sun,duplicate_rate,0.0,22,22,0,,,,,,,
global,E_novelty_sun,known_match_rate,,22,0,22,,,,,,,
global,E_novelty_sun,local_novelty_rate,,22,0,22,,,,,,,local novelty relative to supplied reference corpus
global,E_novelty_sun,novel_by_structure_matcher_rate,,22,0,22,,,,,,,
global,E_novelty_sun,sun_rate,,22,0,22,,,,,,,SUN uses local novelty and surrogate stability proxy
global,E_novelty_sun,sun_count,,22,0,22,,,,,,,SUN uses local novelty and surrogate stability proxy
group,A_validity,parse_validity_rate,1.0,22,22,0,,,,,,,
group,A_validity,composition_match_rate,1.0,22,22,0,,,,,,,
group,A_validity,pre_dft_validity_rate,0.8636363636363636,22,22,0,,,,,,,
group,A_validity,geometry_ok_rate,1.0,22,22,0,,,,,,,
group,A_validity,bond_reasonable_rate,0.8636363636363636,22,22,0,,,,,,,
group,A_validity,bad_contact_rate,0.13636363636363635,22,22,0,,,,,,,
group,A_validity,median_min_distance,1.9918584287042087,22,17,5,,,,,,,
group,A_validity,median_bad_contacts,0.0,22,22,0,,,,,,,
group,A_validity,hard_fail_count,3.0,22,22,0,,,,,,,
group,B_structure_reproduction,structure_match_rate,0.09090909090909091,22,22,0,,,,,,,
group,B_structure_reproduction,match_rate,0.09090909090909091,22,22,0,,,,,,,
group,B_structure_reproduction,anonymous_match_rate,0.09090909090909091,22,22,0,,,,,,,
group,B_structure_reproduction,supercell_match_rate,0.0,22,22,0,,,,,,,
group,B_structure_reproduction,mean_rms_dist,0.0,22,1,21,,,,,,,
group,B_structure_reproduction,median_rms_dist,0.0,22,1,21,,,,,,,
group,B_structure_reproduction,best_rms_dist,0.0,22,1,21,,,,,,,
group,B_structure_reproduction,mean_max_dist,0.0,22,1,21,,,,,,,
group,B_structure_reproduction,structure_rmse,0.0,22,1,21,,,,,,,
group,B_structure_reproduction,structure_rmse_relaxed,0.05743700423680957,22,4,18,,,,,,,
group,B_structure_reproduction,match_rate_n1,0.09090909090909091,22,22,0,,,,,,,
group,B_structure_reproduction,match_rate_nk,0.09090909090909091,22,22,0,,,,,,,
group,C_mlip_stability,chgnet_ok_rate,1.0,22,22,0,,,,,,,
group,C_mlip_stability,m3gnet_ok_rate,1.0,22,22,0,,,,,,,
group,C_mlip_stability,mace_ok_rate,1.0,22,22,0,,,,,,,
group,C_mlip_stability,sevennet_ok_rate,1.0,22,22,0,,,,,,,
group,C_mlip_stability,mlip_ensemble_ok_rate,1.0,22,22,0,,,,,,,
group,C_mlip_stability,mlip_consensus_stable_rate,0.18181818181818182,22,22,0,,,,,,,
group,C_mlip_stability,mlip_disagreement_rate,0.8181818181818182,22,22,0,,,,,,,
group,C_mlip_stability,median_mlip_mean_energy,-2.988885998725891,22,22,0,,,,,,,
group,C_mlip_stability,median_mlip_energy_std,1.2731933335368386,22,22,0,,,,,,,
group,C_mlip_stability,median_mlip_max_force,2.6765640032235116,22,22,0,,,,,,,
group,C_mlip_stability,predicted_ehull_rate_0_00,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
group,C_mlip_stability,predicted_ehull_rate_0_05,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
group,C_mlip_stability,predicted_ehull_rate_0_10,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
group,C_mlip_stability,predicted_ehull_rate_0_15,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
group,C_mlip_stability,predicted_metastable_rate_ehull_0_15,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
group,C_mlip_stability,metastability_threshold,0.15,22,22,0,,,,,,eV/atom,
group,D_relaxation,relax_success_rate,0.6818181818181818,22,22,0,,,,,,,
group,D_relaxation,median_energy_drop_per_atom,0.7585931777954101,22,22,0,,,,,,,
group,D_relaxation,median_max_force_before,1.963085286062248,22,22,0,,,,,,,
group,D_relaxation,median_max_force_after,0.0626224384718283,22,22,0,,,,,,,
group,D_relaxation,force_threshold_success_rate_0_20,0.8181818181818182,22,22,0,,,,,,,
group,D_relaxation,force_threshold_success_rate_0_10,0.6818181818181818,22,22,0,,,,,,,
group,D_relaxation,rmse_improvement_rate,0.0,22,1,21,,,,,,,
group,D_relaxation,median_rmse_before,0.0,22,1,21,,,,,,,
group,D_relaxation,median_rmse_after,0.0252609685194734,22,4,18,,,,,,,
group,D_relaxation,median_rmse_delta,-9.991955972347017e-09,22,1,21,,,,,,,
group,D_relaxation,rmse_improvement_after_relaxation,-9.991955972347017e-09,22,1,21,,,,,,,
group,D_relaxation,relaxed_rmse,0.05743700423680957,22,4,18,,,,,,,
group,D_relaxation,structure_preservation_rate,0.22727272727272727,22,22,0,,,,,,,
group,D_relaxation,collapse_rate,0.0,22,22,0,,,,,,,
group,E_novelty_sun,unique_rate,1.0,22,22,0,,,,,,,local uniqueness
group,E_novelty_sun,duplicate_rate,0.0,22,22,0,,,,,,,
group,E_novelty_sun,known_match_rate,,22,0,22,,,,,,,
group,E_novelty_sun,local_novelty_rate,,22,0,22,,,,,,,local novelty relative to supplied reference corpus
group,E_novelty_sun,novel_by_structure_matcher_rate,,22,0,22,,,,,,,
group,E_novelty_sun,sun_rate,,22,0,22,,,,,,,SUN uses local novelty and surrogate stability proxy
group,E_novelty_sun,sun_count,,22,0,22,,,,,,,SUN uses local novelty and surrogate stability proxy
benchmark,A_validity,parse_validity_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,composition_match_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,pre_dft_validity_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,geometry_ok_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,bond_reasonable_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,bad_contact_rate,0.0,1,1,0,,,,,,,
benchmark,A_validity,median_min_distance,2.3,1,1,0,,,,,,,
benchmark,A_validity,median_bad_contacts,0.0,1,1,0,,,,,,,
benchmark,A_validity,hard_fail_count,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,structure_match_rate,1.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,match_rate,1.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,anonymous_match_rate,1.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,supercell_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,mean_rms_dist,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,median_rms_dist,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,best_rms_dist,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,mean_max_dist,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,structure_rmse,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,structure_rmse_relaxed,9.991955972347017e-09,1,1,0,,,,,,,
benchmark,B_structure_reproduction,match_rate_n1,1.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,match_rate_nk,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,chgnet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,m3gnet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mace_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,sevennet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_ensemble_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_consensus_stable_rate,0.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_disagreement_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_mean_energy,-6.197501850128174,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_energy_std,2.653343028911912,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_max_force,0.0047292179665034,1,1,0,,,,,,,
benchmark,C_mlip_stability,predicted_ehull_rate_0_00,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_05,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_10,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_15,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_metastable_rate_ehull_0_15,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,metastability_threshold,0.15,1,1,0,,,,,,eV/atom,
benchmark,D_relaxation,relax_success_rate,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,median_energy_drop_per_atom,0.0077003479003905,1,1,0,,,,,,,
benchmark,D_relaxation,median_max_force_before,3.911377414586153e-07,1,1,0,,,,,,,
benchmark,D_relaxation,median_max_force_after,5.966166101296821e-07,1,1,0,,,,,,,
benchmark,D_relaxation,force_threshold_success_rate_0_20,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,force_threshold_success_rate_0_10,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,rmse_improvement_rate,0.0,1,1,0,,,,,,,
benchmark,D_relaxation,median_rmse_before,0.0,1,1,0,,,,,,,
benchmark,D_relaxation,median_rmse_after,9.991955972347017e-09,1,1,0,,,,,,,
benchmark,D_relaxation,median_rmse_delta,-9.991955972347017e-09,1,1,0,,,,,,,
benchmark,D_relaxation,rmse_improvement_after_relaxation,-9.991955972347017e-09,1,1,0,,,,,,,
benchmark,D_relaxation,relaxed_rmse,9.991955972347017e-09,1,1,0,,,,,,,
benchmark,D_relaxation,structure_preservation_rate,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,collapse_rate,0.0,1,1,0,,,,,,,
benchmark,E_novelty_sun,unique_rate,1.0,1,1,0,,,,,,,local uniqueness
benchmark,E_novelty_sun,duplicate_rate,0.0,1,1,0,,,,,,,
benchmark,E_novelty_sun,known_match_rate,,1,0,1,,,,,,,
benchmark,E_novelty_sun,local_novelty_rate,,1,0,1,,,,,,,local novelty relative to supplied reference corpus
benchmark,E_novelty_sun,novel_by_structure_matcher_rate,,1,0,1,,,,,,,
benchmark,E_novelty_sun,sun_rate,,1,0,1,,,,,,,SUN uses local novelty and surrogate stability proxy
benchmark,E_novelty_sun,sun_count,,1,0,1,,,,,,,SUN uses local novelty and surrogate stability proxy
benchmark,A_validity,parse_validity_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,composition_match_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,pre_dft_validity_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,geometry_ok_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,bond_reasonable_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,bad_contact_rate,0.0,1,1,0,,,,,,,
benchmark,A_validity,median_min_distance,2.3,1,1,0,,,,,,,
benchmark,A_validity,median_bad_contacts,0.0,1,1,0,,,,,,,
benchmark,A_validity,hard_fail_count,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,structure_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,anonymous_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,supercell_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,mean_rms_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,median_rms_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,best_rms_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,mean_max_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,structure_rmse,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,structure_rmse_relaxed,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,match_rate_n1,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,match_rate_nk,0.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,chgnet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,m3gnet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mace_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,sevennet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_ensemble_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_consensus_stable_rate,0.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_disagreement_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_mean_energy,-3.884465265274048,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_energy_std,1.6516324168627263,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_max_force,1.6395908975271452,1,1,0,,,,,,,
benchmark,C_mlip_stability,predicted_ehull_rate_0_00,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_05,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_10,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_15,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_metastable_rate_ehull_0_15,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,metastability_threshold,0.15,1,1,0,,,,,,eV/atom,
benchmark,D_relaxation,relax_success_rate,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,median_energy_drop_per_atom,0.1543618202209473,1,1,0,,,,,,,
benchmark,D_relaxation,median_max_force_before,1.225946903246859,1,1,0,,,,,,,
benchmark,D_relaxation,median_max_force_after,0.0539832272036795,1,1,0,,,,,,,
benchmark,D_relaxation,force_threshold_success_rate_0_20,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,force_threshold_success_rate_0_10,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,rmse_improvement_rate,,1,0,1,,,,,,,
benchmark,D_relaxation,median_rmse_before,,1,0,1,,,,,,,
benchmark,D_relaxation,median_rmse_after,,1,0,1,,,,,,,
benchmark,D_relaxation,median_rmse_delta,,1,0,1,,,,,,,
benchmark,D_relaxation,rmse_improvement_after_relaxation,,1,0,1,,,,,,,
benchmark,D_relaxation,relaxed_rmse,,1,0,1,,,,,,,
benchmark,D_relaxation,structure_preservation_rate,0.0,1,1,0,,,,,,,
benchmark,D_relaxation,collapse_rate,0.0,1,1,0,,,,,,,
benchmark,E_novelty_sun,unique_rate,1.0,1,1,0,,,,,,,local uniqueness
benchmark,E_novelty_sun,duplicate_rate,0.0,1,1,0,,,,,,,
benchmark,E_novelty_sun,known_match_rate,,1,0,1,,,,,,,
benchmark,E_novelty_sun,local_novelty_rate,,1,0,1,,,,,,,local novelty relative to supplied reference corpus
benchmark,E_novelty_sun,novel_by_structure_matcher_rate,,1,0,1,,,,,,,
benchmark,E_novelty_sun,sun_rate,,1,0,1,,,,,,,SUN uses local novelty and surrogate stability proxy
benchmark,E_novelty_sun,sun_count,,1,0,1,,,,,,,SUN uses local novelty and surrogate stability proxy
benchmark,A_validity,parse_validity_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,composition_match_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,pre_dft_validity_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,geometry_ok_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,bond_reasonable_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,bad_contact_rate,0.0,1,1,0,,,,,,,
benchmark,A_validity,median_min_distance,1.991858428704209,1,1,0,,,,,,,
benchmark,A_validity,median_bad_contacts,0.0,1,1,0,,,,,,,
benchmark,A_validity,hard_fail_count,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,structure_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,anonymous_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,supercell_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,mean_rms_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,median_rms_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,best_rms_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,mean_max_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,structure_rmse,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,structure_rmse_relaxed,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,match_rate_n1,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,match_rate_nk,0.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,chgnet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,m3gnet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mace_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,sevennet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_ensemble_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_consensus_stable_rate,0.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_disagreement_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_mean_energy,-3.2204482555389404,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_energy_std,1.046468357944399,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_max_force,2.8384946111199945,1,1,0,,,,,,,
benchmark,C_mlip_stability,predicted_ehull_rate_0_00,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_05,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_10,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_15,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_metastable_rate_ehull_0_15,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,metastability_threshold,0.15,1,1,0,,,,,,eV/atom,
benchmark,D_relaxation,relax_success_rate,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,median_energy_drop_per_atom,0.3945542971293132,1,1,0,,,,,,,
benchmark,D_relaxation,median_max_force_before,2.8384946111199945,1,1,0,,,,,,,
benchmark,D_relaxation,median_max_force_after,0.0647546071690501,1,1,0,,,,,,,
benchmark,D_relaxation,force_threshold_success_rate_0_20,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,force_threshold_success_rate_0_10,1.0,1,1,0,,,,,,,
benchmark,D_relaxation,rmse_improvement_rate,,1,0,1,,,,,,,
benchmark,D_relaxation,median_rmse_before,,1,0,1,,,,,,,
benchmark,D_relaxation,median_rmse_after,,1,0,1,,,,,,,
benchmark,D_relaxation,median_rmse_delta,,1,0,1,,,,,,,
benchmark,D_relaxation,rmse_improvement_after_relaxation,,1,0,1,,,,,,,
benchmark,D_relaxation,relaxed_rmse,,1,0,1,,,,,,,
benchmark,D_relaxation,structure_preservation_rate,0.0,1,1,0,,,,,,,
benchmark,D_relaxation,collapse_rate,0.0,1,1,0,,,,,,,
benchmark,E_novelty_sun,unique_rate,1.0,1,1,0,,,,,,,local uniqueness
benchmark,E_novelty_sun,duplicate_rate,0.0,1,1,0,,,,,,,
benchmark,E_novelty_sun,known_match_rate,,1,0,1,,,,,,,
benchmark,E_novelty_sun,local_novelty_rate,,1,0,1,,,,,,,local novelty relative to supplied reference corpus
benchmark,E_novelty_sun,novel_by_structure_matcher_rate,,1,0,1,,,,,,,
benchmark,E_novelty_sun,sun_rate,,1,0,1,,,,,,,SUN uses local novelty and surrogate stability proxy
benchmark,E_novelty_sun,sun_count,,1,0,1,,,,,,,SUN uses local novelty and surrogate stability proxy
benchmark,A_validity,parse_validity_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,composition_match_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,pre_dft_validity_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,geometry_ok_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,bond_reasonable_rate,1.0,1,1,0,,,,,,,
benchmark,A_validity,bad_contact_rate,0.0,1,1,0,,,,,,,
benchmark,A_validity,median_min_distance,1.62634559672906,1,1,0,,,,,,,
benchmark,A_validity,median_bad_contacts,0.0,1,1,0,,,,,,,
benchmark,A_validity,hard_fail_count,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,structure_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,anonymous_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,supercell_match_rate,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,mean_rms_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,median_rms_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,best_rms_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,mean_max_dist,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,structure_rmse,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,structure_rmse_relaxed,,1,0,1,,,,,,,
benchmark,B_structure_reproduction,match_rate_n1,0.0,1,1,0,,,,,,,
benchmark,B_structure_reproduction,match_rate_nk,0.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,chgnet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,m3gnet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mace_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,sevennet_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_ensemble_ok_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_consensus_stable_rate,0.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,mlip_disagreement_rate,1.0,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_mean_energy,6.530024266242981,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_energy_std,3.813742163348096,1,1,0,,,,,,,
benchmark,C_mlip_stability,median_mlip_max_force,105.06157554446231,1,1,0,,,,,,,
benchmark,C_mlip_stability,predicted_ehull_rate_0_00,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_05,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_10,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_ehull_rate_0_15,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,predicted_metastable_rate_ehull_0_15,,1,0,1,,,,,,,missing required columns: predicted_energy_above_hull
benchmark,C_mlip_stability,metastability_threshold,0.15,1,1,0,,,,,,eV/atom,
